[2025-12-01 00:36:04] INFO: Новое подключение | Context: {"connection_id":156,"remote_address":"127.0.0.1"}
[2025-12-01 00:40:51] INFO: WebSocket сервер инициализирован | Context: {"logging_enabled":true}
[2025-12-01 00:40:51] INFO: WebSocket сервер запущен | Context: {"ssl_enabled":true,"port":8082,"host":"mysuite.mercusysddns.com","url":"wss:\/\/mysuite.mercusysddns.com:8082"}
[2025-12-01 00:40:58] INFO: Новое подключение | Context: {"connection_id":68,"remote_address":"127.0.0.1"}
[2025-12-01 00:40:58] DEBUG: Получено сообщение | Context: {"connection_id":68,"user_id":null,"type":"auth"}
[2025-12-01 00:40:58] INFO: Пользователь аутентифицирован | Context: {"connection_id":68,"user_id":2,"user_email":"admin@ogas","total_connections":1}
[2025-12-01 00:40:58] DEBUG: Получено сообщение | Context: {"connection_id":68,"user_id":2,"type":"get_unread_counts"}
[2025-12-01 00:40:58] DEBUG: Запрос счетчиков непрочитанных | Context: {"connection_id":68,"user_id":2}
[2025-12-01 00:40:58] DEBUG: Получено сообщение | Context: {"connection_id":68,"user_id":2,"type":"subscribe_chat"}
[2025-12-01 00:40:58] INFO: Подписка на чат | Context: {"connection_id":68,"user_id":2,"chat_type":"transaction","chat_id":12,"chat_key":"transaction_12","total_subscribers":1}
[2025-12-01 00:40:58] DEBUG: Получено сообщение | Context: {"connection_id":68,"user_id":2,"type":"get_unread_counts"}
[2025-12-01 00:40:58] DEBUG: Запрос счетчиков непрочитанных | Context: {"connection_id":68,"user_id":2}
[2025-12-01 00:40:58] DEBUG: Получено сообщение | Context: {"connection_id":68,"user_id":2,"type":"mark_read"}
[2025-12-01 00:40:58] INFO: Сообщения отмечены как прочитанные | Context: {"connection_id":68,"user_id":2,"chat_type":"transaction","chat_id":12}
[2025-12-01 00:40:58] DEBUG: Обновление счетчиков непрочитанных | Context: {"user_id":2}
[2025-12-01 00:40:58] DEBUG: Получено сообщение | Context: {"connection_id":68,"user_id":2,"type":"get_unread_counts"}
[2025-12-01 00:40:58] DEBUG: Запрос счетчиков непрочитанных | Context: {"connection_id":68,"user_id":2}
[2025-12-01 00:40:58] DEBUG: Получено сообщение | Context: {"connection_id":68,"user_id":2,"type":"get_unread_counts"}
[2025-12-01 00:40:58] DEBUG: Запрос счетчиков непрочитанных | Context: {"connection_id":68,"user_id":2}
[2025-12-01 00:41:00] DEBUG: Периодическое обновление счетчиков | Context: {"users_count":1}
[2025-12-01 00:41:00] DEBUG: Обновление счетчиков непрочитанных | Context: {"user_id":2}
[2025-12-01 00:41:03] DEBUG: Получено сообщение | Context: {"connection_id":68,"user_id":2,"type":"send_message"}
[2025-12-01 00:41:03] INFO: Отправка сообщения через WebSocket | Context: {"connection_id":68,"user_id":2,"chat_type":"transaction","chat_id":12,"message_id":494,"message_length":6,"chat_key":"transaction_12"}
[2025-12-01 00:41:03] DEBUG: Начало рассылки сообщения | Context: {"chat_key":"transaction_12","subscribers_count":1,"exclude_user_id":2}
[2025-12-01 00:41:03] DEBUG: Пропуск отправителя | Context: {"chat_key":"transaction_12","user_id":2}
[2025-12-01 00:41:03] INFO: Рассылка сообщения в чат завершена | Context: {"chat_key":"transaction_12","sent":0,"errors":0,"exclude_user_id":2}
[2025-12-01 00:41:03] DEBUG: Обновление счетчиков непрочитанных | Context: {"user_id":6}
[2025-12-01 00:41:03] DEBUG: Обновление счетчиков непрочитанных | Context: {"user_id":2}
[2025-12-01 00:41:03] DEBUG: Получено сообщение | Context: {"connection_id":68,"user_id":2,"type":"get_unread_counts"}
[2025-12-01 00:41:03] DEBUG: Запрос счетчиков непрочитанных | Context: {"connection_id":68,"user_id":2}
[2025-12-01 00:41:03] DEBUG: Периодическое обновление счетчиков | Context: {"users_count":1}
[2025-12-01 00:41:03] DEBUG: Обновление счетчиков непрочитанных | Context: {"user_id":2}
[2025-12-01 00:41:06] DEBUG: Периодическое обновление счетчиков | Context: {"users_count":1}
[2025-12-01 00:41:06] DEBUG: Обновление счетчиков непрочитанных | Context: {"user_id":2}
[2025-12-01 00:41:08] DEBUG: Получено сообщение | Context: {"connection_id":68,"user_id":2,"type":"confirm_transaction"}
[2025-12-01 00:41:08] INFO: Транзакция подтверждена через WebSocket | Context: {"connection_id":68,"user_id":2,"transaction_id":12,"seller_confirmed":false,"buyer_confirmed":true,"both_confirmed":false}
[2025-12-01 00:41:08] DEBUG: Обновление счетчиков непрочитанных | Context: {"user_id":6}
[2025-12-01 00:41:08] DEBUG: Обновление счетчиков непрочитанных | Context: {"user_id":2}
[2025-12-01 00:41:08] DEBUG: Получено сообщение | Context: {"connection_id":68,"user_id":2,"type":"get_unread_counts"}
[2025-12-01 00:41:08] DEBUG: Запрос счетчиков непрочитанных | Context: {"connection_id":68,"user_id":2}
[2025-12-01 00:41:08] DEBUG: Получено сообщение | Context: {"connection_id":68,"user_id":2,"type":"get_unread_counts"}
[2025-12-01 00:41:08] DEBUG: Запрос счетчиков непрочитанных | Context: {"connection_id":68,"user_id":2}
[2025-12-01 00:41:09] DEBUG: Периодическое обновление счетчиков | Context: {"users_count":1}
[2025-12-01 00:41:09] DEBUG: Обновление счетчиков непрочитанных | Context: {"user_id":2}
[2025-12-01 00:41:12] DEBUG: Периодическое обновление счетчиков | Context: {"users_count":1}
[2025-12-01 00:41:12] DEBUG: Обновление счетчиков непрочитанных | Context: {"user_id":2}
[2025-12-01 00:41:15] DEBUG: Периодическое обновление счетчиков | Context: {"users_count":1}
[2025-12-01 00:41:15] DEBUG: Обновление счетчиков непрочитанных | Context: {"user_id":2}
[2025-12-01 00:41:18] DEBUG: Периодическое обновление счетчиков | Context: {"users_count":1}
[2025-12-01 00:41:18] DEBUG: Обновление счетчиков непрочитанных | Context: {"user_id":2}
[2025-12-01 00:41:21] DEBUG: Периодическое обновление счетчиков | Context: {"users_count":1}
[2025-12-01 00:41:21] DEBUG: Обновление счетчиков непрочитанных | Context: {"user_id":2}
[2025-12-01 00:41:24] DEBUG: Периодическое обновление счетчиков | Context: {"users_count":1}
[2025-12-01 00:41:24] DEBUG: Обновление счетчиков непрочитанных | Context: {"user_id":2}
[2025-12-01 00:41:27] DEBUG: Периодическое обновление счетчиков | Context: {"users_count":1}
[2025-12-01 00:41:27] DEBUG: Обновление счетчиков непрочитанных | Context: {"user_id":2}
[2025-12-01 00:41:27] DEBUG: Получено сообщение | Context: {"connection_id":68,"user_id":2,"type":"unsubscribe_chat"}
[2025-12-01 00:41:27] INFO: Отписка от чата | Context: {"connection_id":68,"user_id":2,"chat_type":"transaction","chat_id":12,"chat_key":"transaction_12"}
[2025-12-01 00:41:27] INFO: Клиент отключился | Context: {"connection_id":68,"user_id":2,"remote_address":"127.0.0.1"}
[2025-12-01 00:41:29] INFO: Новое подключение | Context: {"connection_id":225,"remote_address":"127.0.0.1"}
[2025-12-01 00:41:29] DEBUG: Получено сообщение | Context: {"connection_id":225,"user_id":null,"type":"auth"}
[2025-12-01 00:41:29] INFO: Пользователь аутентифицирован | Context: {"connection_id":225,"user_id":2,"user_email":"admin@ogas","total_connections":1}
[2025-12-01 00:41:29] DEBUG: Получено сообщение | Context: {"connection_id":225,"user_id":2,"type":"get_unread_counts"}
[2025-12-01 00:41:29] DEBUG: Запрос счетчиков непрочитанных | Context: {"connection_id":225,"user_id":2}
[2025-12-01 00:41:29] DEBUG: Получено сообщение | Context: {"connection_id":225,"user_id":2,"type":"mark_read"}
[2025-12-01 00:41:29] INFO: Сообщения отмечены как прочитанные | Context: {"connection_id":225,"user_id":2,"chat_type":"community","chat_id":1}
[2025-12-01 00:41:29] DEBUG: Обновление счетчиков непрочитанных | Context: {"user_id":2}
[2025-12-01 00:41:29] DEBUG: Получено сообщение | Context: {"connection_id":225,"user_id":2,"type":"get_unread_counts"}
[2025-12-01 00:41:29] DEBUG: Запрос счетчиков непрочитанных | Context: {"connection_id":225,"user_id":2}
[2025-12-01 00:41:29] DEBUG: Получено сообщение | Context: {"connection_id":225,"user_id":2,"type":"get_unread_counts"}
[2025-12-01 00:41:29] DEBUG: Запрос счетчиков непрочитанных | Context: {"connection_id":225,"user_id":2}
[2025-12-01 00:41:29] DEBUG: Получено сообщение | Context: {"connection_id":225,"user_id":2,"type":"subscribe_chat"}
[2025-12-01 00:41:29] INFO: Подписка на чат | Context: {"connection_id":225,"user_id":2,"chat_type":"transaction","chat_id":12,"chat_key":"transaction_12","total_subscribers":1}
